timestamp	id	title	source	price_uah	percent_positive
2026-05-26T00:00:00Z	deep-rock-galactic	Deep Rock Galactic	steamdb_coop_campaign	509	97.2
2026-05-26T00:00:00Z	lethal-company	Lethal Company	steamdb_coop_campaign	146	97.0
2026-05-26T00:00:00Z	satisfactory	Satisfactory	steamdb_coop_campaign	740	97.3
2026-05-26T00:00:00Z	bloons-td-6	Bloons TD 6	steamdb_coop_campaign	219	97.2
2026-05-26T00:05:00Z	just-shapes-and-beats	Just Shapes & Beats	steamdb_coop_campaign	399	97.6
2026-05-26T00:05:00Z	crab-champions	Crab Champions	steamdb_coop_campaign	225	97.9
2026-05-26T00:10:00Z	schedule-i	Schedule I	steamdb_coop_campaign	415	97.9
2026-05-26T00:15:00Z	repo	R.E.P.O.	steamdb_coop_campaign	194	96.1
2026-05-26T00:15:00Z	boomerang-fu	Boomerang Fu	steamdb_coop_campaign	335	96.7
2026-05-26T00:15:00Z	planet-crafter	The Planet Crafter	steamdb_coop_campaign	499	96.0
2026-05-26T00:20:00Z	madness-project-nexus	MADNESS: Project Nexus	steamdb_coop_campaign	329	97.2
2026-05-26T00:20:00Z	chicory-colorful-tale	Chicory: A Colorful Tale	steamdb_coop_campaign	415	97.5
2026-05-26T00:20:00Z	rabbit-and-steel	Rabbit and Steel	steamdb_coop_campaign	325	97.1
2026-05-26T00:20:00Z	brotato	Brotato	steamdb_coop_campaign	124	96.3
2026-05-26T00:25:00Z	door-kickers-2	Door Kickers 2: Task Force North	steamdb_coop_campaign	309	96.2
2026-05-26T00:25:00Z	heavenly-bodies	Heavenly Bodies	steamdb_coop_campaign	415	95.4
2026-05-26T00:25:00Z	bang-on-balls-chronicles	Bang-On Balls: Chronicles	steamdb_coop_campaign	515	95.7
2026-05-26T00:25:00Z	echo-point-nova	Echo Point Nova	steamdb_coop_campaign	515	96.6
2026-05-26T00:30:00Z	stick-it-to-the-stickman	Stick It to the Stickman	steamdb_coop_campaign	163	96.9
